"Date","variable","Parameter","volume.group"
2013-03-15,"as",0.155810210781456,"7"
2013-03-16,"as",0.1571102639899,"7"
2013-03-17,"as",0.158420867041626,"7"
2013-03-18,"as",0.159742019936633,"7"
2013-03-19,"as",0.161073722674921,"7"
2013-03-20,"as",0.16241597525649,"7"
2013-03-21,"as",0.16376877768134,"7"
2013-03-22,"as",0.165132129949472,"7"
2013-03-23,"as",0.166506032060885,"7"
2013-03-24,"as",0.167890484015579,"7"
2013-03-25,"as",0.169285485813554,"7"
2013-03-26,"as",0.170691037454811,"7"
2013-03-27,"as",0.172107138939349,"7"
2013-03-28,"as",0.173533790267168,"7"
2013-03-29,"as",0.174970991438268,"7"
2013-03-30,"as",0.176418742452649,"7"
2013-03-31,"as",0.177877043310312,"7"
2013-04-01,"as",0.179345894011256,"7"
2013-04-02,"as",0.180825294555481,"7"
2013-04-03,"as",0.182315244942987,"7"
2013-04-04,"as",0.183815745173775,"7"
2013-04-05,"as",0.185326795247843,"7"
2013-04-06,"as",0.186848395165193,"7"
2013-04-07,"as",0.188380544925824,"7"
2013-04-08,"as",0.189923244529737,"7"
2013-04-09,"as",0.19147649397693,"7"
2013-04-10,"as",0.193040293267405,"7"
2013-04-11,"as",0.194614642401161,"7"
2013-04-12,"as",0.196199541378198,"7"
2013-04-13,"as",0.197794990198517,"7"
2013-04-14,"as",0.199400988862116,"7"
2013-04-15,"as",0.201017537368997,"7"
2013-04-16,"as",0.202644635719159,"7"
2013-04-17,"as",0.204282283912602,"7"
2013-04-18,"as",0.205930481949327,"7"
2013-04-19,"as",0.207589229829332,"7"
2013-04-20,"as",0.209258527552619,"7"
2013-04-21,"as",0.210938375119187,"7"
2013-04-22,"as",0.212628772529037,"7"
2013-04-23,"as",0.214329719782167,"7"
2013-04-24,"as",0.216041216878579,"7"
2013-04-25,"as",0.217763263818272,"7"
2013-04-26,"as",0.219495860601246,"7"
2013-04-27,"as",0.221239007227502,"7"
2013-04-28,"as",0.222992703697038,"7"
2013-04-29,"as",0.224756950009856,"7"
2013-04-30,"as",0.226531746165955,"7"
2013-05-01,"as",0.228317092165335,"7"
2013-05-02,"as",0.230112988007997,"7"
2013-05-03,"as",0.231919433693939,"7"
2013-05-04,"as",0.233736429223163,"7"
2013-05-05,"as",0.235563974595668,"7"
2013-05-06,"as",0.237402069811455,"7"
2013-05-07,"as",0.239250714870522,"7"
2013-05-08,"as",0.241109909772871,"7"
2013-05-09,"as",0.242979654518501,"7"
2013-05-10,"as",0.244859949107412,"7"
2013-05-11,"as",0.246750793539605,"7"
2013-05-12,"as",0.248652187815078,"7"
2013-05-13,"as",0.250564131933833,"7"
2013-05-14,"as",0.252486625895869,"7"
2013-05-15,"as",0.254419669701186,"7"
2013-05-16,"as",0.256363263349785,"7"
2013-05-17,"as",0.258317406841664,"7"
2013-05-18,"as",0.260282100176825,"7"
2013-05-19,"as",0.262257343355267,"7"
2013-05-20,"as",0.264243136376991,"7"
2013-05-21,"as",0.266239479241995,"7"
2013-01-21,"ar",0.212129943813217,"7"
2013-01-22,"ar",0.215059374680556,"7"
2013-01-23,"ar",0.216550910892523,"7"
2013-01-24,"ar",0.218060327623355,"7"
2013-01-25,"ar",0.219587624873053,"7"
2013-01-26,"ar",0.221132802641615,"7"
2013-01-27,"ar",0.222695860929043,"7"
2013-01-28,"ar",0.224276799735335,"7"
2013-01-29,"ar",0.225875619060493,"7"
2013-01-30,"ar",0.227492318904515,"7"
2013-01-31,"ar",0.229126899267403,"7"
2013-02-01,"ar",0.230779360149156,"7"
2013-02-02,"ar",0.232449701549774,"7"
2013-02-03,"ar",0.234137923469257,"7"
2013-02-04,"ar",0.235844025907605,"7"
2013-02-05,"ar",0.237568008864818,"7"
2013-02-06,"ar",0.239309872340896,"7"
2013-02-07,"ar",0.241069616335839,"7"
2013-02-08,"ar",0.242847240849647,"7"
2013-02-09,"ar",0.244642745882321,"7"
2013-02-10,"ar",0.246456131433859,"7"
2013-02-11,"ar",0.248287397504263,"7"
2013-02-12,"ar",0.250136544093531,"7"
2013-02-13,"ar",0.252003571201665,"7"
2013-02-14,"ar",0.253888478828664,"7"
2013-02-15,"ar",0.255791266974527,"7"
2013-02-16,"ar",0.257711935639256,"7"
2013-02-17,"ar",0.25965048482285,"7"
2013-02-18,"ar",0.261606914525309,"7"
2013-02-19,"ar",0.263581224746633,"7"
2013-02-20,"ar",0.265573415486823,"7"
2013-02-21,"ar",0.267583486745877,"7"
2013-02-22,"ar",0.269611438523796,"7"
2013-02-23,"ar",0.27165727082058,"7"
2013-02-24,"ar",0.27372098363623,"7"
2013-02-25,"ar",0.275802576970744,"7"
2013-02-26,"ar",0.277902050824124,"7"
2013-02-27,"ar",0.280019405196369,"7"
2013-02-28,"ar",0.282154640087478,"7"
2013-03-01,"ar",0.284307755497453,"7"
2013-03-02,"ar",0.286478751426293,"7"
2013-03-03,"ar",0.288667627873998,"7"
2013-03-04,"ar",0.290874384840568,"7"
2013-03-05,"ar",0.293099022326003,"7"
2013-03-06,"ar",0.295341540330303,"7"
2013-03-07,"ar",0.297601938853468,"7"
2013-03-08,"ar",0.299880217895499,"7"
2013-03-09,"ar",0.302176377456394,"7"
2013-03-10,"ar",0.304490417536154,"7"
2013-03-11,"ar",0.30682233813478,"7"
2013-03-12,"ar",0.30917213925227,"7"
2013-03-13,"ar",0.311539820888626,"7"
2013-03-14,"ar",0.313925383043847,"7"
2013-03-15,"ar",0.316328825717933,"7"
2013-03-16,"ar",0.318750148910883,"7"
2013-03-17,"ar",0.321189352622699,"7"
