"Date","volume","carbon_day"
2013-02-04,"1000",9.62403956450684
2013-02-05,"5",7.38753585079133
2013-02-05,"10",7.94621472104574
2013-02-05,"15",8.77501272703318
2013-02-05,"20",9.04082682048243
2013-02-05,"25",9.07167891042668
2013-02-05,"35",8.71625574845202
2013-02-05,"1000",10.7549293924112
2013-02-06,"5",7.72939048672951
2013-02-06,"10",8.38255368137381
2013-02-06,"15",9.27338758550681
2013-02-06,"20",9.50804526283778
2013-02-06,"25",9.56176323656603
2013-02-06,"35",9.17748213410581
2013-02-06,"1000",11.3898747041578
2013-02-07,"5",7.63043839223755
2013-02-07,"10",8.21215237698778
2013-02-07,"15",9.16509977595455
2013-02-07,"20",9.34975349551396
2013-02-07,"25",9.42338488756774
2013-02-07,"35",9.00957227352164
2013-02-07,"1000",11.1343965894353
2013-02-08,"5",6.69091151266757
2013-02-08,"10",7.15148393294037
2013-02-08,"15",8.01887151833221
2013-02-08,"20",8.1710822995666
2013-02-08,"25",8.28285011923495
2013-02-08,"35",7.87941649963005
2013-02-08,"1000",9.68019319986045
2013-02-09,"5",6.5040242025201
2013-02-09,"10",6.90601300700662
2013-02-09,"15",7.6775178277824
2013-02-09,"20",7.80354846605558
2013-02-09,"25",7.91842652726339
2013-02-09,"35",7.54744481115381
2013-02-09,"1000",8.9982550827614
2013-02-10,"5",5.9184962637975
2013-02-10,"10",6.29346907952863
2013-02-10,"15",7.00893048312601
2013-02-10,"20",7.10666924207317
2013-02-10,"25",7.18896548732951
2013-02-10,"35",6.87549678373025
2013-02-10,"1000",8.23380685634039
2013-02-11,"5",4.62736627763353
2013-02-11,"10",4.73504997778245
2013-02-11,"15",5.11885570797123
2013-02-11,"20",5.16925038692222
2013-02-11,"25",5.2390949613378
2013-02-11,"35",5.09268308466477
2013-02-11,"1000",5.42101918402187
2013-02-12,"5",3.92064205850769
2013-02-12,"10",3.95835545878624
2013-02-12,"15",4.26013307599605
2013-02-12,"20",4.31274195390516
2013-02-12,"25",4.3294339574258
2013-02-12,"35",4.24832129639591
2013-02-12,"1000",4.4227950724306
2013-02-13,"5",6.37639691088699
2013-02-13,"10",6.75206799516548
2013-02-13,"15",7.45478890003596
2013-02-13,"20",7.6293368488701
2013-02-13,"25",7.64474100775735
2013-02-13,"35",7.40661562845972
2013-02-13,"1000",8.87046302866796
2013-02-14,"5",6.93499504529554
2013-02-14,"10",7.47048274084189
2013-02-14,"15",8.31907150927436
2013-02-14,"20",8.53959842837278
2013-02-14,"25",8.57426301278032
2013-02-14,"35",8.25202184442973
2013-02-14,"1000",10.1470797781886
