"Date","volume","Rd_daily"
2013-02-11,1000,0.00203632731114727
2013-02-12,5,0.00159985052547283
2013-02-12,10,0.0019123362156343
2013-02-12,15,0.00154804911847939
2013-02-12,20,0.0015613672360431
2013-02-12,25,0.00115111510320425
2013-02-12,35,0.00138545754003691
2013-02-12,1000,0.00195061944625715
2013-02-13,5,0.0017656319538814
2013-02-13,10,0.00211049837164673
2013-02-13,15,0.00170846272588956
2013-02-13,20,0.00172316090772695
2013-02-13,25,0.00127039718801995
2013-02-13,35,0.00152902290838211
2013-02-13,1000,0.00215274862828589
2013-02-14,5,0.00179377904949119
2013-02-14,10,0.00214414320873774
2013-02-14,15,0.00173569844938542
2013-02-14,20,0.00175063094456798
2013-02-14,25,0.00129064942180797
2013-02-14,35,0.00155339806419936
2013-02-14,1000,0.00218706700439535
