DateTime15,PPFD_Avg.mean,AirTC_Avg.mean,RH.mean,,
2/01/13 12:45,1314.033333,26.43,47.59333333,,
2/01/13 13:00,921.1333333,25.39333333,51.72333333,,
2/01/13 13:15,770.9,25.54333333,51.52,,
2/01/13 13:30,981.3333333,25.86,49.64333333,,
2/01/13 13:45,1184.666667,25.69333333,52.14666667,,
2/01/13 14:00,570.2666667,25.42333333,52.52666667,,
2/01/13 14:15,460.6,24.54,55.33333333,,
2/01/13 14:30,451.8,24.01333333,56.8,,
2/01/13 14:45,269.6,23.49,58.75333333,,
2/01/13 15:00,270.9666667,22.66666667,60.37333333,,
2/01/13 15:15,240.1666667,22.12333333,60.92333333,,
2/01/13 15:30,191,21.83666667,60.31333333,,
2/01/13 15:45,186.5333333,21.74666667,60.17666667,,
2/01/13 16:00,169.7666667,21.65,59.57,,
2/01/13 16:15,118.3333333,21.39333333,59.58,,
2/01/13 16:30,105.6333333,21.22666667,59.33333333,,
2/01/13 16:45,106.4666667,21.09666667,59.15333333,,
2/01/13 17:00,98.66666667,20.95666667,59.14333333,,
2/01/13 17:15,93.23333333,20.66,60.09,,
2/01/13 17:30,135.9666667,20.48666667,61.25,,
2/01/13 17:45,93.3,20.22,62.67666667,,
2/01/13 18:00,83.83333333,20.13666667,63.07333333,,
2/01/13 18:15,50.26666667,20,64.67,,
2/01/13 18:30,26.36666667,19.74333333,66.91,,
2/01/13 18:45,18.03666667,19.24333333,71.05333333,,
2/01/13 19:00,15.53333333,18.88333333,73.27666667,,
2/01/13 19:15,5.335333333,19,71.51,,
2/01/13 19:30,1.094333333,19.02333333,71.41333333,,
2/01/13 19:45,0.128333333,18.71,74.86,,
2/01/13 20:00,0.013666667,18.16666667,78.55666667,,
2/01/13 20:15,0.005666667,18.14,78.49333333,,
2/01/13 20:30,0.008333333,18.3,76.75666667,,
2/01/13 20:45,0.028,18.50333333,76.16666667,,
2/01/13 21:00,0.044333333,18.58,72.07,,
2/01/13 21:15,0.041666667,18.67333333,71.78,,
2/01/13 21:30,0.038666667,18.53666667,73.00333333,,
2/01/13 21:45,0.055666667,18.47666667,73.16666667,,
2/01/13 22:00,0.036333333,18.46,73.21666667,,
2/01/13 22:15,0.036,18.46666667,73.44333333,,
2/01/13 22:30,0.027666667,18.49333333,73.30666667,,
2/01/13 22:45,0.024666667,18.43666667,73.44666667,,
2/01/13 23:00,0.016666667,18.24666667,75.13,,
2/01/13 23:15,0.008333333,18.21666667,75.16,,
2/01/13 23:30,0.013666667,18.10666667,76.61333333,,
2/01/13 23:45,0.016666667,17.62666667,80.83666667,,
3/01/13 0:00,0.002666667,17.13,84.73333333,,
3/01/13 0:15,0.002666667,16.94,86.53333333,,
3/01/13 0:30,0.005333333,16.82666667,87.66666667,,
3/01/13 0:45,0.019333333,16.82666667,88.33333333,,
3/01/13 1:00,0.016333333,16.82666667,88.73333333,,
3/01/13 1:15,0.011333333,16.83333333,89.2,,
3/01/13 1:30,0.019333333,16.72,89.8,,
3/01/13 1:45,0.024666667,16.73,90.33333333,,
3/01/13 2:00,0.014,16.70333333,90.86666667,,
3/01/13 2:15,0.011,16.67333333,91.46666667,,
3/01/13 2:30,0.011333333,16.62333333,91.73333333,,
3/01/13 2:45,0.005333333,16.62,91.8,,
3/01/13 3:00,0.002666667,16.61666667,91.8,,
