plot,pot,Date,volume,campaign,leaf_area,leaf_mass,sla,massarea,starch_mgperg,sugars_mgperg,starch,sugars,tnc,lma_notnc
6,3,22/03/2013,5,2,27.14,0.26,0.010438462,95.79955785,91.73863636,50.75705682,0.091738636,0.050757057,0.142495693,111.7190399
6,3,8/04/2013,5,3,11.8,0.15,0.007866667,127.1186441,101.0571429,64.81758036,0.101057143,0.06481758,0.165874723,152.3975446
6,3,17/04/2013,5,4,15.23,0.19,0.008015789,124.7537754,65.44086022,60.04423775,0.06544086,0.060044238,0.125485098,142.6548309
6,3,1/05/2013,5,5,7.57,0.07,0.010814286,92.47027741,53.44864865,89.58794554,0.053448649,0.089587946,0.143036594,107.9045812
6,3,16/05/2013,5,6,10.24,0.13,0.007876923,126.953125,62.02427184,76.05385882,0.062024272,0.076053859,0.138078131,147.2907575
6,4,7/03/2013,20,1,15.9,0.13,0.012230769,81.76100629,103.0921053,46.71790936,0.103092105,0.046717909,0.149810015,96.16792446
6,4,22/03/2013,20,2,22.27,0.21,0.010604762,94.29726089,87.73933649,71.18959605,0.087739336,0.071189596,0.158928933,112.1156874
6,4,8/04/2013,20,3,23.825,0.255,0.009343137,107.0304302,24.92647048,64.26088695,0.02492647,0.064260887,0.089187357,117.5109185
6,4,17/04/2013,20,4,24.51,0.28,0.008753571,114.2390861,12.89878543,45.45848988,0.012898785,0.04545849,0.058357275,121.3189282
6,4,1/05/2013,20,5,19.39,0.16,0.01211875,82.51676122,38.78475336,77.99821188,0.038784753,0.077998212,0.116782965,93.42750193
6,4,16/05/2013,20,6,23,0.19,0.012105263,82.60869565,40.0546875,74.03405794,0.040054688,0.074034058,0.114088745,93.2471455
6,5,7/03/2013,10,1,31.2,0.25,0.01248,80.12820513,136.3601695,63.75956215,0.13636017,0.063759562,0.200119732,100.1752491
6,5,22/03/2013,10,2,25.21,0.2,0.012605,79.33359778,122.5877863,55.03450906,0.122587786,0.055034509,0.177622295,96.46856588
6,5,8/04/2013,10,3,21.24,0.21,0.010114286,98.8700565,121.902439,82.58916159,0.121902439,0.082589162,0.204491601,124.2853709
6,5,17/04/2013,10,4,17.65,0.2,0.008825,113.3144476,85.98823529,50.21759608,0.085988235,0.050217596,0.136205831,131.1822327
6,5,1/05/2013,10,5,11.91,0.11,0.010827273,92.35936188,101.5471698,78.4960908,0.10154717,0.078496091,0.180043261,112.6393106
6,5,16/05/2013,10,6,21.39,0.22,0.009722727,102.8517999,77.65505226,86.56690912,0.077655052,0.086566909,0.164221961,123.061142
6,6,7/03/2013,15,1,30.5,0.23,0.01326087,75.40983607,86.45038168,46.02736641,0.086450382,0.046027366,0.132477748,86.92553522
6,6,22/03/2013,15,2,18.74,0.14,0.013385714,74.70651014,116.3023256,43.40911142,0.116302326,0.043409111,0.159711437,88.90578003
6,6,8/04/2013,15,3,19.57,0.225,0.008697778,114.9718958,107.7628457,71.20854743,0.107762846,0.071208547,0.178971393,140.0339706
6,6,17/04/2013,15,4,24.54,0.28,0.008764286,114.0994295,91.68965517,85.018375,0.091689655,0.085018375,0.17670803,138.5892656
6,6,1/05/2013,15,5,22.42,0.24,0.009341667,107.0472792,66.50826446,73.46600723,0.066508264,0.073466007,0.139974272,124.4698568
6,6,16/05/2013,15,6,20.1,0.2,0.01005,99.50248756,47.47826087,91.0485777,0.047478261,0.091048578,0.138526839,115.5027133
6,7,7/03/2013,25,1,23.7,0.19,0.012473684,80.16877637,119.024735,42.82467609,0.119024735,0.042824676,0.161849411,95.64960931
6,7,22/03/2013,25,2,23.8,0.27,0.008814815,113.4453782,168.5320755,60.94833302,0.168532076,0.060948333,0.229480409,147.2323084
6,7,8/04/2013,25,3,19.4505,0.23,0.008456739,118.2488882,143.7539063,65.5138623,0.143753906,0.065513862,0.209267769,149.5435288
6,7,17/04/2013,25,4,27.76,0.24,0.011566667,86.45533141,99.72151899,48.83433615,0.099721519,0.048834336,0.148555855,101.5396394
6,7,1/05/2013,25,5,18.31,0.16,0.01144375,87.3839432,87.40140845,83.97306925,0.087401408,0.083973069,0.171374478,105.4564949
6,7,16/05/2013,25,6,24.16,0.25,0.009664,103.4768212,89.43497758,63.98347422,0.089434978,0.063983474,0.153418452,122.2290061
6,8,7/03/2013,1000,1,27.3,0.16,0.0170625,58.60805861,62.85869565,66.6407971,0.062858696,0.066640797,0.129499493,67.32685176
6,8,22/03/2013,1000,2,37.94,0.26,0.014592308,68.52925672,19.29056604,87.76039568,0.019290566,0.087760396,0.107050962,76.74486873
6,8,8/04/2013,1000,3,24.89,0.165,0.015084848,66.29168341,44.48809536,110.5606349,0.044488095,0.110560635,0.15504873,78.45622083
6,8,17/04/2013,1000,4,25.08,0.24,0.01045,95.6937799,71.53220339,51.50467458,0.071532203,0.051504675,0.123036878,109.1195029
6,8,1/05/2013,1000,5,27.47,0.24,0.011445833,87.36803786,24.48086124,90.89470694,0.024480861,0.090894707,0.115375568,98.76285881
6,8,16/05/2013,1000,6,21.31,0.23,0.009265217,107.930549,56.36915888,103.8234412,0.056369159,0.103823441,0.1601926,128.5182163
7,1,7/03/2013,15,1,18.5,0.13,0.014230769,70.27027027,69.54166667,50.0799537,0.069541667,0.050079954,0.11962162,79.81825985
7,1,8/04/2013,15,3,18.865,0.185,0.010197297,98.06520011,110.4705882,56.15910784,0.110470588,0.056159108,0.166629696,117.6730196
7,1,17/04/2013,15,4,13.94,0.14,0.009957143,100.4304161,111.7237762,71.32226505,0.111723776,0.071322265,0.183046041,122.9327736
7,1,1/05/2013,15,5,18.52,0.21,0.008819048,113.3909287,112.2686916,59.805625,0.112268692,0.059805625,0.172074317,136.9578587
7,1,16/05/2013,15,6,16.53,0.2,0.008265,120.9921355,145.4571429,104.6269944,0.145457143,0.104626994,0.250084137,161.3409471
7,2,7/03/2013,1000,1,22,0.15,0.014666667,68.18181818,35.74253731,45.01094527,0.035742537,0.045010945,0.080753483,74.17141854
7,2,22/03/2013,1000,2,32.72,0.22,0.014872727,67.23716381,3.294871795,68.34690302,0.003294872,0.068346903,0.071641775,72.42588259
7,2,8/04/2013,1000,3,22.77,0.15,0.01518,65.87615283,46.05283019,87.17286792,0.04605283,0.087172868,0.133225698,76.00150661
7,2,17/04/2013,1000,4,29.58,0.2,0.01479,67.6132522,13.6374502,49.50676627,0.01363745,0.049506766,0.063144216,72.17039526
7,2,1/05/2013,1000,5,22.5,0.2,0.01125,88.88888889,9.839712919,74.15832536,0.009839713,0.074158325,0.083998038,97.04006389
7,2,16/05/2013,1000,6,26.97,0.29,0.0093,107.5268817,53.41747573,82.42882605,0.053417476,0.082428826,0.135846302,124.4302743
7,3,22/03/2013,25,2,9.46,0.06,0.015766667,63.42494715,34.34439834,77.58328786,0.034344398,0.077583288,0.111927686,71.41867409
7,3,8/04/2013,25,3,7.74,0.06,0.0129,77.51937984,98.11067194,74.3883192,0.098110672,0.074388319,0.172498991,93.67889467
7,3,17/04/2013,25,4,10.5,0.07,0.015,66.66666667,84.01239669,54.87049174,0.084012397,0.054870492,0.138882888,77.41881536
7,3,1/05/2013,25,5,18.7,0.17,0.011,90.90909091,100.0647321,62.41425781,0.100064732,0.062414258,0.16247899,108.5454452
